code,name,date,close,score,grade,active_pool_rank,turnover_n,signal_type,j,rsi,trend_white,yellow,bbi,short_term,long_term,daily_amp,daily_change,doji_up
601138,工业富联,2026-05-08,63.28,,PASS,12,4292430565.373,原始B1,9.241037,35.650332,62.52664,59.465553,63.337604,63.114754,69.62963,2.2782,1.4023,False
600482,中国动力,2026-05-08,38.33,,PASS,260,752185709.2763,超卖缩量B,13.105345,30.259452,38.64158,34.859674,38.840833,45.041322,64.337568,3.4456,1.7179,False
002487,大金重工,2026-05-08,82.98,,PASS,266,743050983.3074,超卖缩量B,-2.950584,25.238098,83.69821,76.014543,84.305937,28.603604,66.071429,3.7205,2.2154,False
605090,九丰能源,2026-05-08,43.27,,PASS,491,452798667.6771,超卖缩量B,-1.408129,15.80165,44.330499,43.117552,44.518333,42.279412,50.137489,2.2807,1.3002,False
300483,首华燃气,2026-05-08,20.63,,PASS,493,451284646.6227,超卖缩量B,12.642673,19.175848,21.148099,20.179359,21.299375,10.416667,51.769911,4.5742,0.3382,False
300191,潜能恒信,2026-05-08,37.32,,PASS,527,433058466.734,超卖缩量B,-7.904169,21.030132,40.793329,37.587733,40.320417,13.617886,25.78125,2.4675,0.974,True
601898,中煤能源,2026-05-08,16.66,,PASS,543,422510051.4287,回踩黄线B,6.491179,13.192189,17.551983,16.776695,17.608854,6.435644,24.264706,4.4767,2.5161,False
300199,翰宇药业,2026-05-08,20.44,,PASS,642,368369273.8695,回踩黄线B,-9.250255,18.780976,21.245109,20.182951,21.105104,6.896552,40.833333,2.549,2.5739,False
601939,建设银行,2026-05-08,9.69,,PASS,645,368039883.3337,超卖缩量B,9.818472,29.761972,9.66342,9.435227,9.718021,35.294117,69.047619,1.4538,0.206,False
600066,宇通客车,2026-05-08,35.64,,PASS,689,342306514.0311,超卖缩量拐头B,17.797333,49.028737,36.098867,34.61635,35.958542,67.479675,29.963899,2.9504,1.5385,True
300866,安克创新,2026-05-08,119.5,,PASS,720,330726368.0259,回踩白线B,16.963443,30.94695,118.204658,112.353537,119.683021,24.468085,78.617711,4.267,2.0412,False
002142,宁波银行,2026-05-08,32.05,,PASS,800,298226657.15,超卖缩量B,8.76661,17.587942,32.129482,31.316786,32.383646,21.73913,58.333333,2.606,1.2631,False
002667,威领股份,2026-05-08,29.16,,PASS,803,295847973.2487,原始B1,14.767204,20.27653,29.906373,26.510954,30.373958,0.0,55.555556,0.0,4.9853,False
601677,明泰铝业,2026-05-08,17.36,,PASS,840,282665236.0343,超卖缩量B,5.964974,22.097319,17.551024,16.757975,17.583542,37.333333,65.625,2.9859,1.2514,False
002430,杭氧股份,2026-05-08,29.86,,PASS,901,257999539.8965,原始B1,-0.245291,22.062081,30.308178,30.007658,30.597917,3.684211,40.989399,2.9204,0.5661,False
002170,芭田股份,2026-05-08,13.64,,PASS,1089,211955041.3791,超卖缩量B,2.329007,29.424241,13.69709,13.454129,13.724375,30.555555,68.047337,1.1799,0.1468,True
600233,圆通速递,2026-05-08,20.84,,PASS,1107,209288215.4768,超卖缩量B,5.236551,9.808593,21.344484,20.227906,21.33625,17.948718,46.712803,4.0097,2.3888,False
002468,申通快递,2026-05-08,16.28,,PASS,1114,207986523.8255,超卖缩量B,-0.419801,17.050834,16.607513,15.57424,16.507604,69.230769,46.153846,2.1605,0.6105,False
600428,中远海特,2026-05-08,8.5,,PASS,1126,205474819.9947,超卖缩量B,9.95985,20.318529,8.877681,8.584593,8.733646,84.0,17.647059,4.1013,0.2358,True
000987,越秀资本,2026-05-08,8.88,,PASS,1209,192581352.0123,回踩黄线B,-2.949985,21.458286,8.943984,8.872104,8.948125,53.846153,67.692308,1.8161,0.6711,False
000683,博源化工,2026-05-08,8.66,,PASS,1218,190721079.8331,超卖缩量B,5.528552,13.085136,8.820169,8.631189,8.828958,6.451613,50.0,2.1991,1.2543,False
300012,华测检测,2026-05-08,16.16,,PASS,1244,187760567.4199,超卖缩量B,9.971968,24.538972,16.203143,15.581009,16.305417,44.827586,67.524116,2.2374,1.9417,False
601001,晋控煤业,2026-05-08,17.81,,PASS,1275,182659990.4277,超卖缩量B,26.225583,16.910714,17.878896,17.044867,18.222708,11.695906,59.78836,4.3157,1.9273,False
601678,滨化股份,2026-05-08,5.06,,PASS,1282,181509846.3583,原始B1,2.795678,18.408833,5.151748,5.102649,5.166875,6.666667,50.847458,2.1825,0.7843,False
300055,万邦达,2026-05-08,11.17,,PASS,1328,174909234.6403,超卖缩量拐头B,16.805663,37.711311,11.593162,10.755138,11.42375,59.649123,22.95082,5.0785,1.4532,False
603129,春风动力,2026-05-08,263.08,,PASS,1382,164851007.1328,超卖缩量B,-9.449097,13.323809,267.061481,260.196798,267.935313,7.415254,66.822222,2.5154,1.5788,False
601311,骆驼股份,2026-05-08,9.82,,PASS,1422,159740253.918,回踩黄线B,-1.23221,26.11753,10.099421,9.849212,9.995833,27.777778,41.011236,2.8542,0.3046,False
002382,蓝帆医疗,2026-05-08,7.08,,PASS,1428,158675863.0459,超卖缩量B,8.15362,36.785593,7.505623,7.170023,7.351771,46.808511,12.222222,3.7736,2.3121,False
600872,中炬高新,2026-05-08,20.68,,PASS,1525,147000817.544,超卖缩量B,8.243332,34.330092,20.559069,19.671902,20.742604,49.056604,61.538462,3.017,0.3373,False
601665,齐鲁银行,2026-05-08,6.28,,PASS,1555,144124790.7786,回踩白线B,17.251962,26.62184,6.221437,6.007932,6.291042,26.315789,75.0,1.9262,0.7899,False
600361,创新新材,2026-05-08,4.43,,PASS,1638,135372637.085,原始B1,1.412232,22.242841,4.452079,4.445135,4.455729,49.999999,66.666667,2.5114,1.1161,False
600596,新安股份,2026-05-08,11.95,,PASS,1640,135195419.2385,超卖缩量B,-2.93379,19.876181,12.255215,12.123059,12.214792,20.634921,57.777778,2.4535,0.4202,True
600562,国睿科技,2026-05-08,27.65,,PASS,1692,130507629.0521,超卖缩量B,2.400911,41.828075,27.653542,27.545201,27.60875,81.818182,64.09396,2.6297,0.1086,True
600572,康恩贝,2026-05-08,4.41,,PASS,1717,127277327.5553,超卖缩量B,7.504385,32.782376,4.506834,4.4988,4.46625,42.857142,17.1875,1.139,0.4556,True
300970,华绿生物,2026-05-08,36.55,,PASS,1728,126109838.0431,超卖缩量B,-1.540172,55.132174,34.6514,29.828404,35.575417,100.0,59.201624,3.5955,1.1345,True
002588,史丹利,2026-05-08,10.76,,PASS,1737,125641371.3899,超卖缩量B,-4.353314,14.903913,10.974308,10.75375,10.939063,42.857143,42.307692,2.1576,0.3704,False
300871,回盛生物,2026-05-08,25.71,,PASS,1886,113129241.0811,回踩黄线B,-6.228151,21.589353,26.638224,25.860564,26.440417,21.348315,37.283951,3.9969,2.6505,False
002274,华昌化工,2026-05-08,6.33,,PASS,1975,105512353.3001,原始B1,10.531365,22.114561,6.442897,6.380188,6.470104,20.930233,42.553191,2.0635,0.317,True
601002,晋亿实业,2026-05-08,6.11,,PASS,1990,104899658.3633,超卖缩量B,3.209734,14.289564,6.191598,5.88123,6.196458,50.0,63.924051,2.8381,0.9724,False
